tweetid,Tweet,For guns?,Location
646,@DLoesch snowflake ,-2,"Mount Prospect, IL"
647,"Wants guns banned, wears armbands, looks like a fuckin twat. Hitler did the same thing ",-2,"Gainesville, FL"
648,From 2/15/18. How many people would be alive today if we had listened—and acted.  IT’S THE GUNS! ,-2,"North Highlands, CA"
649,@doctorschmitty @mnrothbard What gov propaganda? And I've told you my argument about guns and specifically assault rifles. Now we're just running around in circles.,-2,"Las Vegas, NV"
650,@ShyleneSky @Tumderest @lverenices People are going to hurt people if they really want to. That’s it. Guns been around for a long time and honestly it’s to late to do anything about that and I have a lot more to say to bring this up when we see each other,-2,"Perris, CA"
651,OMG! So true! ,-2,"De Soto, MO"
652,"@IronmanMann @annie141630 And last but not least, kids being mass massacred in school by guns that shouldn’t be owned by anyone non military.",-2,"Stockton, CA"
653,Guns Explained With Cats  via @YouTube,-2,"Port Washington, NY"
654,#kitteh logic ,-2,"Chicago, IL"
655,"@frangeladuo Why did Y make such a ignorent statement? Last year there were 47 school shootings! Do the math,52 weeks in a year,so guess th took holidays off. Protect About Our Children! Being Murdered at School is NOT FUNNY!",-2,"Wayne, IL"
656,"I hate seeing kids flex with guns on social media, you’re not cute.",-2,"San Antonio, TX"
657,Saw guns and chopped swords in the hands of young children,-2,"North Las Vegas, NV"
658,Ah the narcissist’s pendulum ,-2,"Chicago, IL"
659,"What if minorities, POC, women, and “flaming liberals” bought a whole bunch of guns and openly stated they were doing so to defend themselves from a potentially fascist government? Would we get reform?",-2,"Oxford, OH"
660,Californians seem to be doing it already. ,-2,"Islamorada, FL"
661,"@njh2005 @NRA When you're talking about arming teachers and thinking MORE guns will somehow bring about LESS gun violence, then yes – it's inconceivable. Because it's factually incorrect.",-2,"Franklin, MA"
662,An interesting perspective on the gun control debate... by using cats.  via @YouTube,-2,"San Francisco, CA"
663,But guns are illegal in NYC? ,-2,"Fort Mill, SC"
664,Don’t buy a cheetah.Adorable and poignant.  # via @HuffPostEnt,-2,"Vienna, VA"
665,@SerenityFirth Everyone’s missing the connection between those who want gun control working for the coming #new worldorder picking up where the #Nazi’s left off #Bush #Obama #Clintons #cousins #family #wakeup ,-2,"Newark, NJ"
666,@Patriot4Cruz Gun control means using both hands when you shoot.,-2,"Wayne, NJ"
667,We need gun control now. It will always be a good time to talk about this #toolate ,-2,"Ohio, USA"
668,#GunReformNow ,-2,"California, USA"
669,"One #MSD student, @KyleKashuv, is working w/gov officials to help prevent school shootings while another #MSD student, @davidhogg111, is working with the media to blame conservatives and @NRA members.. Who is being more productive here?",-2,"North Carolina, USA"
670,"Smh I don't even like trump but this tweet right here makes me want to 
😷🤢🤮 ",-2,"Glenn Heights, TX"
671,"Yeah, but NO ONE IS GOING TO TAKE YOUR GUNS, though, right?? #2A #RKBA #2ndAmendment #StandAndFight #ThingsToSayToStartAFight #MolonLabe ",-2,"Phoenix, AZ"
672,"#Russians #AlexanderTorshin  &amp; #MariaButina share an extraordinary status with America’s largest gun lobbying group, #NRA.
  ",-2,"Athens, GA"
673,"This is hilarious. @DLoesch, Miss ""I'm = tough cause I have guns,"" who sold her soul to the @NRA, is 2 much of a snowflake to listen to my words. Ive had many discussions with her about how her unfailing support for all guns to anyone would backfire. So, Im blocked. What a wimp.",-2,"Modesto, CA"
674,"This is a horrible representation of Christianity, but it proves you can have radicals in any religion. 

The key is to find and recognize the ones that try to uphold the beliefs while not forcing them onto others. We’re taught to spread love, this ain’t it. ",-2,"Tennessee, USA"
675,This is great.     #GunReform Adorable and poignant.  # via @HuffPostEnt,-2,"Moodus, CT"
676,@DLoesch I fully believe that the radical lib lawmakers know exactly what they r doing at all times who the he'll ever heard of bump stocks before the Vegas shooting I didn't and I've owned firearms for over 30 so they r well researched while playing dumb2 push their confiscation agenda,-2,"New Hampshire, USA"
677,@Ceparski @lisak0623 @KyleKashuv Perhaps using memes to smear someone publicly simply because you disagree with him is the lowest point. Nothing wrong about 2A but let’s not ignore a well-regulated militia. What are law-abiding citizens so afraid of? That military grade guns are for active military people only?,-2,"Melrose, MA"
678,"@doctorschmitty @mnrothbard No. I'm in favor of more intensive background checks, improving mental health, and being stricter on people who violate gun laws.",-2,"Las Vegas, NV"
679,Guns Explained With Cats  via @YouTube,-2,"Portland, OR"
680,@ShyleneSky @lverenices @Tumderest If they don’t have guns they will find something else... and that can be even more affect or worse,-2,"Perris, CA"
681,@schultzenfreude @Flaaaaalala All he has to do is convince 310 million firearms owners in a country of 350 million people to give up their constitutional rights in an age when government is seen as increasingly incompetent and corrupt. Should be easy...,-2,"North Highlands, CA"
682,@cnnbrk HELLO WE ARE PLANNING TOO KEEP GUNS AND THE NRA AASOO GET OVER YOUR SELFS GUNS ARE GOOD THEY KEEP US SAFE FROM HARM THEY ARE GOOD,-2,"Brighton, NY"
683,#Resistance ,-2,"New Bedford, MA"
684,"@Emma4Change Fewer! We want fewer bad cats, er, guns, not ""less"". 

Grammar Nazi out.",-2,"Arlington, VA"
685,@TheJuanWilliams ,-2,"Houston, TX"
686,Or if we stopped calling them schools &amp; started calling them uteri ,-2,"Albuquerque, NM"
687,lmfaoo they @'d the man 😭💀 ,-2,"Baton Rouge, LA"
688,"@DLoesch AR-15 the lone gunman mass murderer weapon of choice in 21st century America. So a few children die, as long as I keep mine. End 2nd Amendment collateral damage lies. When will we love our children as much as we love our guns? #NeverAgain",-2,"Modesto, CA"
689,The Democrats became the ILLOGICAL PARTY ,-2,"Pompano Beach, FL"
690,"@Pacu999 @KyleKashuv @billmaher @TheEllenShow Respectfully, Alain, some are trying to take away all guns.",-2,"Georgia, USA"
691,#NRA ,-2,"New Bedford, MA"
692,yOu gUyS ARe sOOo iGnORanT ,-2,"Chicago, IL"
693,"Joy is a phony she doesn't know her BLACK
HISTORY.. THE DRMOCRATS KKK PARTY
KILLED many Blacks because the dems
Forbid them HAVING GUNS!!! ",-2,"Moorpark, CA"
694,"Some of the vilest, most despicable members of our society have no concern for human life. They have a mental disease that makes them care more for their guns than these beautiful children. But, a change is coming led by America’s youth. BC ",-2,"Summerville, SC"
695,And conservatives are supposedly the fascists. ,-2,"Plano, TX"
696,The list is enormous  ,-2,"Zionsville, IN"
697,I love this so much! Please share! #stopmrsnra   # via @HuffPostEnt,-2,"Queens, NY"
698,"Guns used properly protect all when used in a defenses posture.
",-2,United States
699,"@themamadominus @fedupinillinois If you love your kids that much, why don't you fight to put prayers back in school. There are no shootings at private Catholic schools that pray everyday. Guns are not the problem, no prayers are.",-2,"Lake Charles, LA"
700,@DPennell12 Gun control doesn’t necessarily mean a complete ban or removal. Not being able to open carry on a plane is an accepted form gun control. I also never advocated for anything in my posts so I’m not sure what you’re getting at 🤷🏼‍♀️,-2,"Lakeland, FL"
701,"Well, duh 🙄! ",-2,"Reno, NV"
702,Need to arm against tyranny! No color associated with tyranny! @JoyAnnReid @amjoyshow @MSNBC ,-2,"Dallas, TX"
703,"@bigleaguepol Big money like Soros &amp; Bloomberg, Clintons. The Dems are emailing their constituents begging for $ to ban the NRA &amp; enact so called common sense gun laws &amp; destroy the 2nd Amendment",-2,"California, USA"
704,"Heck up it to 40, either way you can’t stop Evil. ",-2,"Tupelo, MS"
705,@DLoesch It's no accident that radical lib anti Constitutional anti 2ndAmendment lawmakers keeping up with the oddest items2ban after each shooting bc they r conditioning the public with the idea of giving up something in order to keep their guns with the libs goal of total confiscation,-2,"New Hampshire, USA"
706,"THOSE FUCKING GUNS,I SAID I WANT THEM CONTAINED AND CONTROLLED ASAP.GOD IS WATCHING.THE LORD CHRIST JESUS.CHILD HURTERS PRISON FOR LIFE, MERCY. ",-2,"Metropolis, IL"
707,I’m brown I’m NRA and I don’t scare people. So please stop with your race mongering. The NRA is the oldest civil rights organization. ,-2,"East Garden City, NY"
708,"I think before you go and do something maybe you should do some research or know the laws. You’re looking to be in Congress? Not only that, but was she scared that the gun was going to come out at night &amp; kill her and her husband? ",-2,"Brunswick, OH"
709,The boys behind us in line behind us are talking about guns and “ripping wheelies” and I’m just like excuse me  it’s a really beautiful day please shut up,-2,"Portland, OR"
710,LOGIC! And adorable and poignant.  @HuffPostEnt,-2,"Los Angeles, CA"
711,@davidhogg111 and Alyssa_Mylano ,-2,"Houston, TX"
712,@fred_guttenberg @JahMekAWail @Agreewithsegree I personally know of a mass shooting where the man was definitely mentally ill. He has scitzo and stopped taking meds. Family called mental health &amp; told it was his right.BUT family had a lot of guns.Shot up IHOP in Carson City. Lots of blame to go around.,-2,"Los Banos, CA"
713,😂😂😂 ,-2,"Xenia, OH"
714,this is what l imagine people who are against gun control look like ,-2,"Colonial Heights, VA"
715,"@reddaug17 Yeah, there’s no correlation there. Cars have a function other than killing, as does gasoline. Guns do not. If you can explain to me how someone can commit a gun massacre without a gun, I’m all ears.",-2,"Los Angeles, CA"
716,"@cjm314 @NRATV @DLoesch You kind of a funny troll, you hate guns but ur picture and name portray you as a gun smuggler from a tv show? Hypocrite much?
#StaySalty #DefendTheSecond",-2,"Tennessee, USA"
717,"@KenidraRWoods_ @BetteMidler I like to start the debate w these people by asking if they would object to making it illegal to give guns to blind retarded kids. Then you either establish it is reasonable to draw a line somewhere,or that they’re too insane to be reasoned with",-2,"Asheville, NC"
718,@davidhogg111 and @Alyssa_Milano ,-2,"Houston, TX"
719,"@BannedVernon @mimi_wells @JivesNChives @EmmPeeHaach @AmericanHotLips @davidhogg111 @marcorubio @FLGovScott @NRA No guns, no gun violence. Simple as that.",-2,"Winston-Salem, NC"
720,@jimlibertarian @TRobinsonNewEra B/c of gun control!  Evil will always find a way-in this case a knife!  No guns policy didn’t stop evil.,-2,"North Carolina, USA"
721,"@FoxNews This is deplorable. An 18YO can’t own a gun in FL, while a 15YO can marry in MO? Let’s have a Federal definition of adulthood in this country! 21 is perfect. No guns, no alcohol, no smoking, no voting, no marrying, and off your parent’s insurance all at 21. #NationalVoterID",-2,"Rancho Santa Margarita, CA"
722,this is *so* well done  😸 ,-2,"New York, USA"
723,@TCPalm @FloridaIssues @Fla_Pol Havd fun watching this video! ,-2,"Vero Beach, FL"
724,@5_characterz @foxandfriends I don’t own guns but I strongly believe in the constitution and citizens right to bear arms.  I had this belief way before Fox News came on the air.  Cowards go into schools with their guns bc they know schools are gun free zones and students are sitting ducks.,-2,"Topeka, KS"
725,"GO DOOR TO DOOR NATION WIDE UNTIL THEY ARE CONTAINED TO PROTECT LIFE THEN MODERN TECHNOLOGY SECURITY DEVICES SHALL BE GIVEN TO ALL PEOPLE TO PROTECT THEIR FAMILIES.GUNS KILL,IDIOTS.THE LORD CHRIST JESUS.WAR KILLS,LIVES IDIOTS WE WANT PEACE IN KINGDOM OF LIFE OF GOD'S SON,NOT EVIL ",-2,"Metropolis, IL"
726,"@JivesNChives @EmmPeeHaach @AmericanHotLips @davidhogg111 @marcorubio @FLGovScott @NRA Really? Because it worked in Australia.  No guns, no gun violence.",-2,"Winston-Salem, NC"
727,"Sorry that facts trigger you so, Jason. Since you don't like critical thinking and find football boring, I may not be the follow for you! ",-2,"Mount Ephraim, NJ"
728,"@DLoesch That dim wit only wants criminals to have guns, just a simple fact, if only they have guns we are their targets with no immediate defense, your local police policy says they can't act until a crime is committed, ouch sorry you're dead, PC will get us all killed!",-2,"Pleasanton, CA"
729,@mrs_pinky85 @Pablo_1791 @VuhJJDentata @Budahmon @JimmyMcSavage @DreadMighty @winsomebulldog @NewlandBobby @FreedomRecon @NotReallyABear2 @kglarson @anonymous6374 @hyacinthgrrl @jellen311 @Mellecon @Anaximander136 @goodlimediner @TMIWITW @aggierican @MrsFiveO No ones gun rights are being stepped on. What restrictions on gun rights have passed in the last 15 years?,-2,"Atlanta, GA"
730,@DLoesch you just don’t get it! People don’t want to take away your guns. We want an assault weapons ban. There is NO REASON to have this kind of weapon unless you are in a war. You can’t tell me that if it was your kid killed that you wouldn’t feel the same way ,-2,"Boynton Beach, FL"
731,YOU and your ilk have destroyed this state #jackass neighbor! ,-2,"Santa Monica, CA"
732,"The truth about Gun violence, drugs &amp; gangs, amongst modern religious athiests that Liberals don't want to hear about. #death4drugdealers  

",-2,"Florida, USA"
733,“Mrs. Nurah is a good lady. She’s just a little too into her cats.” ,-2,"Washington, DC"
734,"@jensinspired1 @ScuttleTrump @Previti_c @davidhogg111 @marcorubio @FLGovScott No guns, no gun violence. What's so hard for you to understand?",-2,"Winston-Salem, NC"
735,"@LoserDonDrumpf @DLoesch Congrats on advocating violence against another person in the name of ""gun control""... this is why you lose, this is why you wont post your real picture w your face, and this is why you were reported!
#DefendTheSecond",-2,"Tennessee, USA"
736,"The mainstream media don't care about nothing REAL, just making noise to try and distract all of us so they help the left sneak in from behind and and ruin our country.NOT GONNA HAPPEN! TRUMP has a 360 degree vision on this country and got ALL of our backs!No matter,red or blue. ",-2,"Tennessee, USA"
737,"@IceNine61 @FoxNews @WillCarrFNC Bullshit! Cops and crooks are the only people in Oakland that have guns,  Moran",-2,"Texas, USA"
738,"@realDonaldTrump 
@NRA has brought a lawsuit against Florida because of this. ",-2,"Texas, USA"
739,Love this! #stopmrsnra #crazycatlady ,-2,"Fort Worth, TX"
740,"ARE PEOPLE WALKING AROUND WITH GUNS IN UNITED KINGDOM THAT'S NOT AUTHORIZED BY CROWN?EVEN THEY'VE NOT BEEN PERFECT NOBODY IS BUT GOD.I CAN'T SIN AGAINST GOD,I'M HIS SON,IDIOTS.THE LORD CHRIST JESUS 2018. ",-2,"Metropolis, IL"
741,@kath_keaton @burkel663 Uh huh. BTW - you are using a strawman argument with guns besides being Australian. ,-2,"Denver, CO"
742,"@scarahmisspell @MattMur32245164 @MrRemain @Tumderest @PedroooGooomes It's very simple: Guns represent the last defense against tyranny, and the right to defend oneself. Americans aren't obsessed with guns, but with freedom. That's why the Second Amendment was created.",-2,"Brooklyn, NY"
743,@nightfiIm i blame you for my parents comparing walmart not selling guns to under 21 to tide pods🙄,-2,"Missouri, USA"
744,"   
Die From Medical Mistakes in U.S. Hospitals.
updated estimate says it could be at least 210,000 patients a year , twice the number in the Institute of Medicine. @FDArecalls   worry about guns?  @USSenate",-2,"Milford, NH"
745,@RealJack What anger people have in CA for President Trump. ,-2,"Wayne, NJ"
746,Chicago and 75% black made guns a cultural issue—like all liberal cities ,-2,"Washington, USA"
747,I’d have beating him like he beat the dog!!! ,-2,"Fairfield, CT"
748,"The Left is trying to stifle free speech, ban guns, uses violence (Antifa) to intimidate. Do not ignore the hate they spew, they are not on the right side of good. Just look at how they saw no wrong in Hillary and the DNC creating a fake dossier to frame Trump! ",-2,"Missouri, USA"
749,"@MichaelLudwick2 @davidhogg111 @marcorubio @FLGovScott Bullshit, all they ever do is use mass shootings as marketing ploys and do everything they can to stop any attempt to keep guns out of the hands of those who would use them  to kill innocents. More sales is all they ever care about.",-2,"Winston-Salem, NC"
750,@ORTVATISTADON @maysisme @shaqfasa @usblm As morons like you call for more gun control...,-2,"Fallon, NV"
751,"@cameron_kasky Could you give me the adddess of the nearest @NRA store? Because when I search guns on their website, this is all that shows up. Not a single actual firearm to be found. ",-2,"Oceanside, CA"
752,@seanhannity @FoxNews @foxandfriends @AnnCoulter ,-2,"Houston, TX"
753,ALL THE MSM IS DOING IS CAUSING EASILY BRAIN WASHED STUDENTS TO MAKE THREATS AT THEIR XCHOOLS ALL ACROSS THE COUNTRY. IT HAPPENDD AT MY GRANDDAUGHTERS SCHOOL AND THE PERSON WAS ARRESTED. STOP PUBLISHING THIS ,-2,"Niagara Falls, NY"
754,"@KyleKashuv @realDonaldTrump @FLOTUS @POTUS Arming teachers does not make kids safer in school. Teachers aren't responsible for stopping gun violence, the responsibility lies with the legislative branch. They are suppose pass laws to protect us, not guns and the NRA.",-2,"Cincinnati, OH"
755,"@NRA @GovMalloyOffice When a Lobbying entity, that is predominantly funded by Smith&amp;Wesson,Browning,Berretta, Ruger etc. They're not interested in protecting #2A, don't buy the hype! Common sense gun &amp; rifle laws are needed to keep the populace safe. The NRA, isn't the problem, it's Greed plain&amp;simple",-2,"Michigan, USA"
756,"@NorahODonnell @TigerWoods If you call playing one under on Final Round, being back and without the World’s #1,2,&amp;3 : Stop dreaming, he’ll never win again against the Young Guns!",-2,"Casas Adobes, AZ"
757,@DLoesch 👇 ,-2,"Harrison, AR"
758,,-2,"Snoqualmie, WA"
759,Because guns are more active in the city due to traffic noise keeping them awake. ,-2,"Prior Lake, MN"
760,As long as they learn to use it like in Basic I agree! ,-2,"Howell, MI"
761,ESPECIALLY WITH THE KNOWLEDGE OF THEY ARE TRYING TO FORCE SCHOOLS TO ARM TEACHERS INSTEAD OF COMMON SENSE GUN LAWS! TRUMP/NRA/REPUBLICANS ALL REPRESENT MONEY/POWER! STAND BY/VOTE FOR A REP. THAT PUTS PEOPLE ABOVE ALL ELSE! MY ROOTS ARE IN SO. PHILLY/HEART W/PEOPLE &amp; NATURE! AMEN,-2,"Turnersville, NJ"
762,,-2,"Lone Tree, CO"
763,"America: where half the electorate discourages education and encourages mass murder of our children with big effin guns.

The best country in the world, we no longer are.

😢

The majority of Republicans say colleges are bad for America (yes, really) ",-2,"Los Angeles, CA"
764,Whether m#he makes this putt or not...the young guns are on notice @TigerWoods #masters2018,-2,"Iowa, USA"
765,@angelabiastock @davidhogg111 @Brucehadams @marcorubio @FLGovScott You left out bought and paid for NRA  Congressmen. Any one who stands against gun control is the appropriate source!,-2,"Winston-Salem, NC"
766,PETITION: Stop NRA Money and Enact Common Sense Gun Laws! h/t @boldprogressive ,-2,"Antioch, CA"
767,"If Tiger is back.. like really back. I’m so excited to watch him compete against this group of young guns... Sunday battles vs Spieth, Day, Thomas, Rickie, Rory, Rahm, etc. 

This is great for golf...",-2,"Medford, NJ"
768,Soooooooo let’s do math shall we?                           NRA says guns don’t kill people.,-2,"Indiana, USA"
769,@V_of_Europe Wait!  Shots fired?!?!? This is the UK right?  No guns allowed right?  Well I guess open borders does this for you!🤨,-2,"Gurnee, IL"
770,Oregon leading again! ,-2,"Memphis, TN"
771,@WayneDupreeShow What does he think is going to happen if guns are outlawed?🤔. Criminals are just going to get jobs and become positive roll models in society? 🤔🤣,-2,"Coeur d'Alene, ID"
772,Perfect ,-2,"Lithia Springs, GA"
773,"@GreenpeaceCA @Melina_MLM @350Canada bigger guns , fool , right is not the question.  forget about then,  fight now @LastManABC    @uscourts",-2,"Milford, NH"
774,‘SS?’ ,-2,"Washington, USA"
775,"Until someone proposes taking all guns away, no gun control legislation is an infringement on the second amendment. We need to use our common sense and not see the 2nd as an end all be all. Our country has always been evolving, the constitution should evolve too.",-2,"Oregon, USA"
776,"@cyanideann @RobChristie11 Odd, none of them are mad at the Sheriff or his office, or that they got obama money not to arrest this kid. They’re mad at guns &amp; the NRA 😒",-2,"Sharonville, OH"
777,"Guns Explained With Cats. 

 

#enough #stopmrsnra ",-2,Squareflair
778,Guns Explained With Cats  via @YouTube,-2,"Tampa, FL"
779,I literally lol'ed at this video. Great job! ,-2,"Alexandria, VA"
780,"@MichaelHogan60 @n6ki_ @Steve03343829 @itsgabrielleu @NRA @DLoesch When you start sending your tweets written with a quill pen on, written on hemp paper, delivered by a man on horse. Then we can have a “ gun control” debate. Till then. TTFN.",-2,"Pelham, AL"
781,"@steelyonsports Look out young guns , 🐅 is back !!",-2,"Oklahoma, USA"
782,So good... so absolutely right on!  So simple.... it’s not rocket science NRA! ,-2,"New Mexico, USA"
783,Golf world is on notice.  Tiger didn't have his A game today and still finished 2nd.  Not saying he’s passing some of these young guns up but he sure looks on his way back to competitive golf.,-2,"Fort Smith, AR"
784,@Mike45223 @CappyVaVoom @MaryEllenMaatma @DavidPigottMD @shannonrwatts @DLoesch Very glad you gave this post. Thank you. I think this perfectly illustrates just how much more responsible we as citizens have to be and just how much more responsible law enforcement in the legal system has to be if we have to be responsible for the guns we have the right to own,-2,"Philadelphia, PA"
785,@tjflick1970 @LKlacik @RyanAFournier You can walk from Chicago to Indiana (literally) where gun laws are some of the most lax in the country. You know this. Don’t bullshit me dude. We both know gun laws won’t work unless federally enforced,-2,"Chicago, IL"
786,"Can any body tell me the difference between instruments used for abortions and guns? They both have killed, 1 more than the other.",-2,"Missouri, USA"
787,"Moreover, it is absolutely necessary to institute comprehensive background checks for all gun buyers and owners and all firearms need to be registered. I’m a lawyer, and I am certain that the Founders would be aghast to see how the 2A has been twisted.",-2,"Frederick, MD"
788,@TrinityResists @jilevin People that show guns not the people that make guns sell guns and condone violence like the NRA,-2,"Kingsgate, WA"
789,The Professor raises a good point. ,-2,"Pompton Lakes, NJ"
790,"As much as I enjoy watching the young guns on the @pga tour, it still doesn't compare when @TigerWoods is in the hunt.  Looking forward to @TheHondaClassic and @TheMasters.",-2,"West Linn, OR"
791,"You see why they want our guns? 
Think Jesse's pulling your leg? 

Does black people voting for benefits pop your bubble? 

It's out of control.... 

",-2,"Florida, USA"
792,Adorable and poignant.  via @HuffPostEnt,-2,"Arizona, USA"
793,"@bigleaguepol If your so hell bent on gun control, there are plenty of countries that would love to have another person to tell what they are and are not going to do. MOVE if you don’t like American laws!!!!! M O V E !",-2,"Alabama, USA"
794,"@TX_4_EVER @out7out @kurteichenwald @DLoesch @NRA They say things like ‘I support the 2nd amendment but no one needs 30 rounds to hunt’. If they can change the narrative on guns, ie gun control changes to sensible gun reform, they will be able to turn public opinion, just like abortion changing to women’s reproductive rights.",-2,"Holly Springs, MS"
795,THIS IS EXCELLENT!!! ,-2,"Oceanside, CA"
796,"Eagles get Bennet, Phils sign Arrieta, Sixers young guns are prospering, meanwhile the Flyers signed Johnny Oduya at the deadline and are still employing Brandon Manning",-2,"Agoura Hills, CA"
797,Smh ,-2,"Toledo, OH"
798,@vfitz70 @carolecarole06 Guns aren’t the problem it’s the “sick individuals” that fire em; #LifetimeNRAMembers!!!,-2,"Indiana, USA"
799,"It has NEVER been about school safety. It has ALWAYS been about control, taking away the right to lawfully purchase a gun. Criminals will obtain, mentally unstable will obtain...but vulnerable schools will be twisting in the wind...gutless cowards...ALL. ",-2,"Virginia, USA"
800,"@DLoesch Anti-gun advocates is a broad brush to use. The MAJORITY  of the United States wants to eliminate assault weapons, not all guns!",-2,"Baldwin, PA"
801,@DLoesch @NRA and @DLoesch may not physically sell guns but they sure the heck do spread propaganda lies in favor of gun sellers convincing a small minority of gun owners the government is coming after your guns. They only care about the bottom line and not the harm brought to people!,-2,"Halawa, HI"
802,"@NigNiggerson @ErikaAnderson3 @krassenstein Hold the average citizen responsible for the exercising of his / her rights. We should all keep our rights to bear arms. That's too important and no one wants to change that. But I think it's sensible to be more responsible for our guns. That's the best solution for all, I think",-2,"Philadelphia, PA"
803,It be the white people who live in the mountains of North Dakota who swear they need AR-15’s in the crib. I don’t even know real goons who need them typa guns.,-2,"Palmer, MA"
804,Let's use cats to explain the situation.... ,-2,"Tallahassee, FL"
805,@JETBaby56 @davidhogg111 @pixietwit @CNN That’s because so many people have guns that shouldn’t.,-2,"Morganton, NC"
806,"We could say it a million times, but anti-gun activists would never agree! ",-2,"Mint Hill, NC"
807,I don’t think that’s entirely true love.  And of those children how many are little black kids in Gun Free Democratic Run Cities? ,-2,"Los Lunas, NM"
808,I see all these niggas buyin guns for fun to impress these bum ass females lolol dont even have proper firearms training🤦🏽‍♂️,-2,"Maryland, USA"
809,@danpfeiffer @HawaiiDelilah @BetoORourke Tough to win in Texas esp with Democrats running on gun control.,-2,"Westlake Village, CA"
810,"@DLoesch Hey snowflake princess, why are you afraid of @kurteichenwald ... I guess bullies like you can't take a challenge. All those guns can't protect you from facts I guess. ",-2,"South Euclid, OH"
811,"#HelpStopMrsNRA THIS is brilliant. @NRA this one’s for you, do you understand yet? #MarchForOurLives #neveragain #Enough ",-2,"West Columbia, SC"
812,"As many school shootings as we have in this country, you don't find this irresponsible at all @Walmart? ",-2,"Austin, TX"
813,"@SnarkyOracle @CatbirdCityPoet America! Know that the Clintons and the Obama were and are Students and followers of this radical, Saul Alinsky! His teachings are Identical to Hitlers!, Stalin’s,Castro’s, to name a few! Obama, Gov Health Care, Clinton Gun Control! Private citizen Army! Sound familiar! Be Alert!",-2,"New Jersey, USA"
814,.@realDonaldTrump You have called for the death penalty for drug dealers because they are killing our kids. Great idea if wecan have the death penalty for gun dealers whose guns are used to kill our children. @VP @SenMajLdr @SpeakerRyan,-2,"Kentucky, USA"
815,"@summer7570 @Gonzobaggins @DLoesch Assault rifles have been banned since the 1934 National Firearms Act. When do you anti-American leftwing radicals ever blame the murderer who actually took all those lives? You won't, because your issue is not about safety for children, but eliminating the Second Amendment.",-2,"Colorado, USA"
816,"Old Guns
#GeriatricFilms",-2,"California, USA"
817,@CRYPTO__CHAOS @Reve_Rogers @nowthisnews I’m sorry were you talking about Canada? Or maybe Japan? Sweeden? No probably Australia or Norway then. Wait. Those things didn’t happen there either. You must be talking about the gun control imposed by dictatorships like nazi Germany. Yeah we don’t want that.,-2,"Dallas, TX"
818,"@DLoesch @StephenGutowski I’m permitted free speech however there are a lot of things if I say I’ll face the law. And, those things aren’t in the constitution. The effect of time led to speech restrictions. Guns uses have met a time for change. We need restrictions on guns the constitution doesn’t include",-2,"Boston, MA"
819,"Oh look, all of us who own guns are feral cats and crazy cat ladies According to the brilliant minds at @HuffPost #NRA #2a #2AShallNotBeInfringed ",-2,"Missouri City, TX"
820,"@CUNY @JohnJayCollege This will be interesting to see.  Will it debunk myths, support commonly held beliefs about school shootings, or simply inform us?  Will policy makers use this data to move forward in shaping school security and access to guns?",-2,"Erlton, NJ"
821,"@shannonrwatts What’s the proposed solution to prevent this in the future? Should anyone diagnosed with PTSD have their right to bear arms removed?

No one wants dangerous people to have guns. I’m just curious as to how—specifically—we can prevent the Yountville scenario in the future.",-2,"Alabama, USA"
822,The NRA doesn’t sell guns ,-2,"North Carolina, USA"
823,"#Guns in USA, he has to do it himself. ""Soon after Guttenberg met w/his GOP senator #MarcoRubio, who has taken large amounts of money from #NRA.  He looked Rubio in the eye and told him that his response (and Trump’s response) had been “pathetically weak.” He believes that...",-2,"Eugene, OR"
824,@UnitedWeStandDT @realDonaldTrump @GOP @TheDemocrats @MKronader @Christi48550057 @LaunaSallai @RickRainmaker77 @TRUTH_USA_2016 @SassyT_Joy @Sissy_USMC @donjone38970700 @TrumpArmyDawn @MrKimbles Yep. But we know the ultimate objective of the left is to ban and confiscate all guns so it’ll be easier to incorporate their communist utopia. They’ll never confess to either as them they would have to concede we were right all along.,-2,"Ohio, USA"
825,MEMO. ,-2,"Newport Beach, CA"
826,Satan. ,-2,"Boston, MA"
827,"Vet gun grabs been going on for decades. The volunteer military has been good for the grabbers. Look to Israel, Lebanon and Switzerland for the solution. Mandatory service. ",-2,"North Royalton, OH"
828,"Good luck @jakearrieta #thanksforthememories #guns 
via ",-2,"Indianapolis, IN"
829,"@constantbarrage @TeskeJ39 @tainteddemo @DonaldJTrumpJr Actually I don't because there are way more important issues than if he slept with a porn star. Gun laws, school safety, opioid crisis, infrastructure, illegal immigration, DACA,  VA, Healthcare, North Korea, Social Security, Russian election interference......",-2,"Pretty Bayou, FL"
830,"@GLC_Tan Laughable. I could kill you with my bare hands. That’s not the point. Guns enable nearly anyone to kill masses of people with ease. I can kill you with a screwdriver, but to kill dozens that’s unlikely. Logic.",-2,"New Jersey, USA"
831,I don’t think any logical person can watch this and not agree that there need to be rules for awful cats... ,-2,"Ocala, FL"
832,@marcorubio Ban guns now #neveragain #MarchForOurLives,-2,"San Jose, CA"
833,"it is time for #Politicians to admit that guns are a major problem, and to take meaningful, concrete steps to prevent future mass murders.""  

#FNC @CNN @MSNBC #KillTheNRA #NRAKillsKids #NRAAreGunLobbyists #BoycottNRA #BoycottNRASponsors @realDonaldTrump #WayneLaPierreBabyKiller",-2,"Eugene, OR"
834,"Humorless Youths in arm bands who want to confiscate our guns so only the State is armed. 

Yeah, no. ",-2,"North Carolina, USA"
