,Tweet,Location,For guns?
836,@Chnlswmr17 @SagebrushRick @LIVE_COVERAGE @Karoli @DianeSosa19 @olivieri_ppd The US Military used the M16. A M1 Garand and M4 Carbine are now civilian used guns but that still makes them a weapon designed for the military. My Remington 700 30-06 was never designed for the military but was used as a sniper rifle by them. Do we ban those rifles now?,"Missouri, USA",0.0
837,"Because gun control is tyranny, @realDonaldTrump should liberate our brothers and sisters in the UK and Japan. For too long have they suffered underneath the oppression of no gun violence and free healthcare. FREEDOM NOW!","Manhattan, NY",-2.0
838,"I can hear it now. Americans must now turn in all your guns. Pa whispers to mom, I’ve got the front door you watch the back","North Carolina, USA",-2.0
839,@DLoesch I've noticed a few things about many of the so-called gun control advocates. They spew hatred and violence unlike law-abiding gun owners. A lot of these gun control nuts have no business having a guns because if they're words are any indication many of them are mentally unfit.,"Oklahoma, USA",0.0
840,💜 ,"Michigan, USA",-2.0
841,@DiamondandSilk Bad Bad Bad don’t touch topic!  Political acid when everyone knows it’s not the guns doing it.  PeopleR.  Focus only on regulating people.,"Country Homes, WA",-2.0
842,This is the enemy within! The Trojan horse just chipping away at liberties!! ,"Connecticut, USA",-2.0
843,@Jim_Peoples_ @WayneDupreeShow He doesn’t like guns because he’s a liberal moron.,"New York, USA",-2.0
844,"Gov Malloy doesn’t understand abt Our Constitution? 2A: ‘A well-regulated militia being necessary to the security of a free state, the right of the people to keep and bear arms shall not be infringed’. All are focused on WRONG PROBLEM! Isn’t guns, but failure of law enforcement! ","Plainville, CT",-2.0
845,I laughed so hard! 🤣🤣🤣#MrsNra  # via @HuffPostEnt,"Kansas City, MO",-2.0
846,😍 ,"Decatur, GA",-2.0
847,@DPat1430 @DLoesch Nope. Sorry and your tittle of “anti-gun advocates” is incorrect. It’s actually “Gun safety advocates”. NO ONE WANTS TO TAKE YOUR GUNS AWAY!,"Lincoln City, OR",1.0
848,"@DLoesch The Democrats are afraid of guns and anyone who has one legally, really scares them. Guns represent responsibility.","Alaska, USA",-2.0
849,@realDonaldTrump @alozras411 Please Mr President do NOT raise the age for purchasing long guns do not give in to the left PLEASE,"Binghamton, NY",0.0
850,Yes we will. We don’t need no stinking Trump in California... ,"Ventura, CA",0.0
851,"I rest my case, @NRA! ","Virginia, USA",-2.0
852,@DiXiEjO68 She's a sold out ho anyway. Guns over lives??? Ridiculous!!!!,"Galesburg, IL",-2.0
853,Anti-gun groups would not be satisfied by AR-15 ban. #guns via @resurgent ,"Pensacola, FL",-2.0
854,@NigNiggerson @ErikaAnderson3 @krassenstein Importance of the reasons behind our 2nd Amendment rights and why we should never give them up. I think we have to be more responsible human beings. The gun is not going anywhere. It's technology. We have it. We use it. So it only makes sense that we have,"Philadelphia, PA",1.0
855,You know that’s sick. So much for protecting life. ,"East Garden City, NY",-2.0
856,"@NigNiggerson @ErikaAnderson3 @krassenstein The more comprehensive understanding of just what our rights mean and what our responsibility is with respect to our guns, from the individual up to the nation as a whole. And we all get to keep our guns and we all get to be more responsible for them","Philadelphia, PA",0.0
857,"@davidhogg111 @marcorubio @FLGovScott Kid, pull your head out of Shumers butt. The NRA is not the enemy. I’m a NRA member and can tell you we want our schools just as safe as you do. Look how many times the ball was dropped that let Cruz get the guns to use in this horrible shooting. Please reevaluate your stance.","Amarillo, TX",0.0
858,🤔 ,"Washington, DC",-2.0
859,"@DLoesch Our current laws we had in place would have prevented the Florida school shooting, if only they had been enforced! The gun was not the killer! The killing would be a personal decision to kill! It takes thought and action! Guns do not have that ability!","Oklahoma, USA",-2.0
860,The rest of the world doesn't have the 2nd Amendment. You live in Canada. You don't understand that our Constitution lists our inalienable rights. There is no compromising on God given rights. ,"Texas, USA",1.0
861,#catsoftwitter #WeCallBS #thisisfunny #CommonSenseGunLaws ,"Champaign, IL",-2.0
862,@Preredacted @joshduhamel @TheEllenShow @UnsolvedUSA Lancia Hopkins@lanciahopkins2. This is to@Preredacted.  Your sarcasm is so sick.  Are you in an institution?  Haldol for a start.#ban assault guns#ban sickos.,"Lantana, FL",1.0
863,We have guns ,"Georgia, USA",-2.0
864,Funny that the civil war starts in the land of Lincoln. #noguncontrol #IIIpercent #comeandgetthem @deplorableclay @seanhannity ,"West Jordan, UT",-2.0
866,"@NigNiggerson @ErikaAnderson3 @krassenstein Thanks to our discussions, I can see that now. Way more clearly. They made errors on the side of the offenders rights when, by his actions, he had relinquished his rights and his guns could have been impounded and there never would have been that mass shooting.","Philadelphia, PA",0.0
867,"@Johnsawyer1013 @Suarez1931 @yayo515 @RussBarbee @Jhenya_Belitsky @NRA @DLoesch A single mother should have her gun put away, unloaded. Will an intruder wait for her to go get it? You think it's your strong go to argument in favor of guns; I've always found it weak.","California, USA",0.0
868,@SaysHummingbird @JillyIllg NRA says guns don’t kill people.,"Indiana, USA",-2.0
869,We are fast approaching the tipping point. #comeandgetthem ,"West Jordan, UT",-2.0
870,After taking this course Massachusetts got the dumbest gun laws out of all 50 states. Oh and @MassAGO your logic is legit that of someone riding a short bus.,"Fairhaven, MA",-2.0
871,Stupid people slowing down security. Keep your guns at home. ,"Chicago, IL",-2.0
872,I fight for women’s rights and want all guns banned in America. Plus I’m vegan ,"Fresno, CA",1.0
873,@DLoesch - suck it ,"Fresno, CA",-2.0
874,Absolutely Eddie ! Nobody Taking Guns From #Texans ! @ProudUSAer ,"Bonita Springs, FL",-2.0
875,"The US is a fucking joke at this point. With the president we have, the constant lack of support and constant danger that POC and immigrants face daily, the crazy amount of people who much rather protect guns than children, etc. is just beyond scary and disappointing as hell","Elk Grove, CA",-2.0
876,NRA QUOTES A WHITE HOUSE STUDY SAYING ITS NOT GUNS THAT KILL PEOPLE ITS THE GUNPOWDER.,"Indiana, USA",0.0
877,"I often make this point. Gun law reform should target 1st &amp; foremost the unacceptably large number of Americans getting killed by handguns, the predominant source of gun death. Banning AR-15s would save far fewer lives. ","Oakland, CA",-2.0
878,"I'm happy there's a lot of conversation going on about gun laws in America but where the fuck were all of you when police were gunning down dozens of unarmed black men, women and children every year?!","San Antonio, TX",0.0
879,@OperatorBTU @oliverjamesking @DLoesch Doesn't work? Works great in MA CA NY NJ. Murders down minimum of 30% since stronger gun laws.,"Brooklyn, NY",-2.0
880,Utter BS from the White House. ,"San Jose, CA",-2.0
881,@sparky08540 @RickSneaky @BGEEZ @united So you’re suggesting we indefinitely confine people who have not been convicted of any crimes based on arbitrary criteria? Isn’t that exactly the kind of govt action NRA types say we need guns to protect ourselves against?,"Denver, CO",0.0
882,Or have an Effin drink from the stress of being enlisted? ,"Orange, NJ",-2.0
883,"My brother has a playlist that has everything from JB, Blue October, Guns n Roses, Tove Lo to Khalid, the mans should always be on aux","Mesa, AZ",1.0
884,any yet you need a license to operate an automobile. ,"New York, USA",-2.0
885,"@SaysHummingbird Has the @NRA met its match as teenagers fight back against “thoughts and prayers” instead of #action against gun violence? #NRABloodMoney
.
My blog at:
","Los Angeles, CA",0.0
886,@pjstar People need to remember that people kill people not the guns. If you take the guns away then we better take away cars.,"Normal, IL",0.0
887,This pic alone explains why we shouldn’t give teachers guns. ,"Los Angeles, CA",-2.0
888,"Nah, my kids will never go to @LibertyU NEVER! ","Virginia, USA",1.0
889, ,"San Jose, CA",-2.0
890,"@ratigan512 @TeskeJ39 @tainteddemo @DonaldJTrumpJr If he violated election laws he will be punished but until then there are way more important issues at hand; Gun laws, school safety, opioid crisis, infrastructure, illegal immigration, DACA, VA, Healthcare, North Korea, Social Security, Russian election interference......","Pretty Bayou, FL",-2.0
891,"*preventable causes*
The person holding the gun causes the results. Where's your plan for preventing them from doing so? (And btw, @Alyssa_Milano , your statistic is wrong.)
 ) ","Hallandale Beach, FL",1.0
892,"@raeberries77 @Edwarre31373218 @jeffmyers01 @1sfleming302 @POTUS Yes, you will see something worse than the Civil War. That's why the libs want our guns..","Monona, WI",1.0
893,"Question: What kills more people in America, Guns or Forcepts? Also, Guns or Cars? Guns or Cigarretts? Americans with Guns or Illegals with Guns? Remember Eric Holder (Obama AG) armed Mexican Criminal Gangs w/Military Grade Guns! What again should be banned?","Osprey, FL",-2.0
894,"When you realize tomorrow is Monday 😑
.
.
.
.
#gunporn #fullauto #progun #guns #targets #weekend… ","Paradise, NV",-2.0
895,@Hope012015 @HuffPostPol He can arm teachers with the guns he takes away from the NRA.,"Bartlesville, OK",1.0
896,"@WayneDupreeShow Is abortion a preventable cause of death?  I think it is, and I'm pretty sure abortion causes more children's deaths than guns.","Texas, USA",0.0
897,"*preventable causes*
The person holding the gun causes the results. Where's your plan for preventing them from doing so? (And btw, @Alyssa_Milano , your statistic is wrong.
 ) ","Hallandale Beach, FL",1.0
898,This makes purr-fect sense! 😸 ,"Little Rock, AR",-2.0
899,"Haha, attemp at itony fail ","Valparaiso, IN",-2.0
900,From 1980’s PrezWhoSAVED🇺🇸From Weak 16-22% Interest #Carter When🇺🇸At OurKnees #IRAN Held Our Hostages #Reagan Took A Deathly Bullet NOW 45th @POTUS Resurrects &amp; SAVES🇺🇸 Worst Beyond Liberal #Obama #Clinton #Criminals #DNC =💉💊🚬⚗️🔫🔪💣🔥⚰️To🇺🇸Anti🙏✝️🔯@ProudUSAer ,"Bonita Springs, FL",-2.0
901,@lolhaley_ @ChuckNASCAR Life doesn't come with any absolute protections. Most gun crimes are committed with illegal guns. A crazy man or woman will kill with whatever weapons they can get their hands on.,"Bexley, OH",-2.0
902,"@CNBC They are supposed to be happy....all red states.
 They got their guns and their president.","Perth Amboy, NJ",-2.0
903,"Never forget that this country has always put guns before children, and that needs to change. #MarchForOurLives #NeverAgain","Atlanta, GA",-2.0
904,Disgraceful ,"Pennsylvania, USA",-2.0
905,@deplorableclay ,"West Jordan, UT",-2.0
906,@MarkSimoneNY It’s obvious liberal ideology is more lethal than guns!,"Lakewood Park, FL",-2.0
907,"Lets get this straight:
Children are killing children with guns and adults are killing almost formed children in abortions! Hmmmmm? ","Manhattan, NY",0.0
908,Williams — I’m Uncomfortable With Guns Because I Live In The City  via @WayneDupreeShow,"Delaware, USA",-2.0
909,Ridiculous. I'd be so angry.  These cry babies need to stop. These people so terrified of guns are the ones who wanted Hilary to bring all those random immigrants here who normally HATE us just so they could mooch off our government system. Smh. ,"Mauldin, SC",0.0
910,"Half chaotic, half sensible. ","Chicago, IL",-2.0
911,"Shameful. Paul Ryan said that we shouldn't ""rush"" to have a conversation about guns after 17 students and educators were murdered with an assault rifle.  Ryan was looking out for the special interest group that gave him nearly $200,000 in a single year -- the NRA. Despicable Ryan","Dania Beach, FL",-2.0
912,Always a pleasure to join @sarbetter ! ,"New York, USA",-2.0
913,"Ted Cruz’s Strategy:
1. Take a beloved country song, kill it
2. Rewrite the lyrics with Trumpist rhetoric that isn’t correct about his opponent’s agenda 
3. Scare “real Texans” about taking guns 
4. Use the word liberal as much as possible

Pathetic? Yes. Scary? No. #resist #Beto ","Bee Cave, TX",0.0
914,"On March 14th, students plan to walk out of class for 17 minutes, the amount of lives tragically lost in the Parkland, Fl shooting. Passing this along so they know their rights.    ","Indianapolis, IN",1.0
915,"@MichaelHogan60 @n6ki_ @Steve03343829 @itsgabrielleu @NRA @DLoesch No, not really.  Guns don't kill people and the NRA doesn't kill people.   People make a decision to kill people.  The Florida FBI and Florida Sheriff are to blame for the Parkland shooting.","Georgia, USA",0.0
916,Niggas done put the guns down and picked up ever other weapon 😂 ,"Nacogdoches, TX",0.0
917,"@casey_erdman24 @DLoesch And I don't think those folks telling her to die realize that their hate is the real problem. Guns aren't the reason people are dying, hate is the reason.","Virginia, USA",0.0
918,@heshnigga_ said don’t play with guns no more. We gonn listen to mans,"Albuquerque, NM",-2.0
919,@DLoesch Folks don’t realize people like you are looking out to protect them from all the crazies! Bad folks will kill with ILLEGAL guns or run over you with a van. Legal gun owners protect life!,"Evansville, IN",1.0
920,"@griffbos @NHGOP @NHDems Mike, many in Massachusetts believe you have sensible strict gun laws, yet law abiding citizens can't protect themselves, only criminals have guns in Mass. Check your crime rate? NH is one of the safest state in country to raise a family. #MAGA","Londonderry, NH",0.0
921,Can’t make this stuff up ,"Janesville, WI",-2.0
922,Cuz the nra put him in his place. He’s scared of the nra 🤣🤣🤣🤣 they must have reminded him of the laundering of money for his campaign 😑😑 ,"Anchorage, AK",-2.0
923,What a surprise. Trump changes position. ,"Richmond, VA",-2.0
924,Shocking. ,"Seattle, WA",-2.0
925,I've had about enough of this kid. Dude doesn't even have a GED yet and he's being touted around as the Einstein of gun control. ,"Breckenridge, CO",0.0
926,@simulacrandrew @jaketapper The school shooting in Ireland resulted in a gun ban. Yet crime rose. You know why? Criminals still get guns! ,"Phoenix, AZ",-2.0
927,@barefootboomer I find is so entertaining that these types absolutely cannot wrap their pointy heads around the fact that there are *a lot* of us combat veterans who support reasonable and common-sense gun laws as part of the #VetsForGunReform movement.,"Layton, UT",1.0
928,"#AssassinsOfAmerica
#DrMM @drmikemurdock
📖 ""The People Who Want Guns Taken Away From Good People, Love Killing Babies.""
📖 Sadly, So True. People who want to take away the right to bear arms for our protection, want to murder unborn babies for the mothers right of protection. 📖","Eagle, ID",1.0
929,@RepMaxineWaters this is your party of hate &amp; threats. Notice it’s always liberals who spew out hate. Then everyone is surprised when the President responds. ,"Irving, TX",-2.0
930,#WhiteHouseCowards #GunControlNow #GOPLies #GunReform #NeverAgain ,"Fruitville, FL",-2.0
931,Go ahead &amp; threten ppl all you like.  You won’t succeed in changing any minds. It will drive ppl to be confident &amp; stand up to your hate. ,"Irving, TX",0.0
932,"Excellent point, Edward. Keep pushing to get an answer. Don't let them just ignore you. Stay strong! ✊💪 ","Carlsbad, CA",-2.0
933,@DanLairdMD @aander1987 Our government does not even run guns to #ChronicPain &amp; #IntractablePain patients as they did to the drug cartels so we are both disabled and unarmed which will make us equally easy targets for the #DEA and drug dealers.,"Warner Robins, GA",1.0
934,You can dislike Americans all you want. It won’t work. ,"Irving, TX",-2.0
935,@DLoesch Another crazed Liberal Democrat. Ban Democrats from having guns. That’s the answer. Liberals are Terrorists. Look how many people they have killed! Not one person killed by the NRA except ONE KILLER!,"Upper Grand Lagoon, FL",0.0
936,"@abc_lmnop some schools attempting to accommodate 1st #amendment  kids march/guns. Control. They’re not marching for 2nd Amendment. Pick &amp; choose. Emotion. Forget law. 🎵🎵🎵feelings🎵🎵🎵whoa whoa whoa, feelings🎵🎵🎵","Arkansas, USA",-2.0
937,@nikkihaley What about school shootings and changes to gun laws?,"Minnesota, USA",-2.0
938,@TIME Some teachers did not get their degrees in shooting to kill! Lame idea as guns will now be in the hands of many! FU-NRA AND 45,"Danville, CA",0.0
939,Oh ffs🤦🏼‍♀️🤦🏼‍♀️ w what money?? If there’s money for this shit there’s money for salary raises and umm new books etc ,"Anchorage, AK",-2.0
940,"The Trump gun ""control"" proposals are unveiled, and they're about as weak as a twice-used teabag. He has done his usual dance. Promise big. Talk tough, &amp; then do the bidding of those who have underwritten &amp; normalized his path 2 power. Shameful!

 ","West Orange, NJ",0.0
941,@NBCPolitics Teachers have to buy their students supplies all the time. CLE TV station has a stuff the bus for under privileged kids. They fill 10 busses every year and teachers shop for free for kids and they run out. WHO'S BUYING THEM GUNS ?,"Ohio, USA",0.0
942,“The only thing that beats a bad guy with a Death Talon Ryu Samurai Katana is a good guy with a Death Talon Ryu Samurai Katana” ,"Juneau, AK",-2.0
943,"@fireballbastard @wokeluisa I advocate allowing research on impact of firearms, and equipment to modify firearms, so I can make an informed decision as to whether there should be restrictions. And I expect my elected representatives to listen to my voice, not a lobbyist for firearms manufacturers.","North Carolina, USA",1.0
944,"Summary: If you’re losing sleep thinking the risk of school shootings is significant, you’re probably not looking at the situation rationally.

","Alabama, USA",-2.0
945,"Of course. 

The only thing the NRA (a big source of his funding) would allow him to do. No restrictions but instead funding for even more guns.  The tragic irony of this being his response to such a horrific event is heartbreaking. 21 would have been so easy a first step.  SAD. ","North Carolina, USA",0.0
946,Is it really too much to ask to put some rules on cheetahs?? #NeverAgain #GunControl ,"Georgia, USA",0.0
947,I believetotally with thenNRA dude. They're should b vetting  for mentally ill. But theyre still guns on street what do we do about. I personally they're are no answers. I could go  on streets now ask for gun and have 1 within hour.@realDonaldTrump,"Mississippi, USA",0.0
948,@letgobestill @MAGA_Engineer The MSM gun haters need to shut their flytraps up they parade the Gun Control advocate students around like their Rock Stars giving the talking points and coaching them and FLOTUS talks to on progun child and their having a fit look what MSM gun control gives to kids ,"Winston-Salem, NC",0.0
949,@DLoesch ,"Delray Beach, FL",-2.0
950,60 Minutes Betsy DeVos interview. ,"Kentucky, USA",-2.0
951,"@RalstonReports @orrinjohnson In terms of school shootings, maybe we need to rethink having so many students jammed into a small area?","Paradise, NV",-2.0
952,Wouldn’t be opposed! ,"Paterson, NJ",-2.0
953,@victori79963496 @marklevinshow What happened in Flora was the perfect  Example how the left will let 17 children die  When it could have been avoided or stopped To make their point and try to take all the guns,"Dearborn, MI",0.0
954,"Trump’s a sneak! He cannot be trusted to keep his word about anything. He has no ideology, no policy and no character. An empty shell going from one con to another. #resist #VoteBlue #GunControl ","Carbondale, PA",0.0
955,@shannonrwatts Is anyone surprised? He has never kept his word about anything he says. D.A.C.A Health Care and now Guns. He's a Lier and afraid of NRA.,"Parkland, WA",0.0
956,I don’t think guns were even invented yet Ash ,"Royal Pines, NC",-2.0
957,No no no no no 😠 ,"Roanoke, VA",-2.0
958,Sounds and acts like a racing maniac ranting about guns and bibles like a desperate republican ,"Sudbury, MA",-2.0
959,I’m trying to understand the logic of supposed combat vets that routinely confiscated legally owned guns from Iraqi and Afgan people during raids and often killed them just for carrying them telling me we need to respect gun ownership ,"Los Angeles, CA",0.0
960,"Liberals Scream for Gun Control After Veterans Home Shooting, Miss One Huge Fact ","Indian Springs Village, AL",-2.0
961,@MichaelHogan60 @n6ki_ @Steve03343829 @itsgabrielleu @NRA @DLoesch So I guess all the GUNS the COPS use to shoot perpetrators trying to flee when kidnaping young girls for pedophile sex rings is @DLoesch fault too! The same guns that good law abiding citizens &amp; COPS carry to protect lives don’t kill students....The WACKADOOS DO! Get a grip dude!,"San Antonio, TX",0.0
962,@EdKrassen Guns are killing your children. Give them the death penalty. Jus sayin!,"Florida, USA",0.0
963,Excellent way to reframe the conversation!! ,"Spartanburg, SC",-2.0
964,"Sounds like ""game over"" YOU WIN! ","Wayland, MI",-2.0
965,This bill was passed 2 years ago and now STUDENTS can legally carry guns on college campus in Georgia.  I can't find anything that says if there's a restriction on what type of weapon. #KeepGunsOutOfSchool #NeverAgain #MarchForOurLives ,"Atlanta, GA",-2.0
966,"@LennaLeprena no gun. manufacturers have immunity..... great idea though,,.... slavery entrenched guns rights to citizens.... a sad story will tweet it out one day","Chicago, IL",1.0
967,@Kimbraov1 My God the liberals are brainwashing the hell out of our children! They don't know enough to understand what there doing with history but they can lecture adult Americans on gun control? What a load! There gonna eat this liberal pudding &amp; become liberal zombies!,"San Antonio, TX",0.0
968,"@TomRyleBTB I think the young guns having a guy like Witten to model themselves after is important. I hope he plays another year or two, but would have nothing but respect if he pursued TV or coaching! The guy only has a ring left to add to his resume! Canton is a given regardless!","Oklahoma City, OK",0.0
969,"Guess #Trump *is* afraid of the #NRA

White House promises federal money to help train armed teachers, backs off raising age to buy guns ","Calumet City, IL",0.0
970,"@RyanMur314 @realDonaldTrump @POTUS As @Potus bows to the @NRA, it is up to us to back the students who dared to fight back against “thoughts and prayers” instead of #action against gun violence. #GunControlNow
.
","Los Angeles, CA",0.0
971,#NotaManofHisWord @realDonaldTrump ,"Los Angeles, CA",-2.0
972,What a FUCKING idiot ,"Moreno Valley, CA",-2.0
973,@NRA #guns #NRA #GunContolNow I love this please learn what an “Assault rifle” is! ,"Homewood, AL",0.0
974,"Haha. No kidding. You mean, maybe he isn’t Satan? ","Indiana, USA",-2.0
975,"Seriously.  Congress is going to let that idiot have a parade?  What a waste.  The Republican party is so dead.  Homeless, health care, poverty, infrastructure, education, gun control, no one in power cares. ","Wenatchee, WA",1.0
976,"Well, look at this would you? And still we have virtually nothing in the information department. ","Sunny Isles Beach, FL",-2.0
977,"@DLoesch And they blame the NRA? The school, sheriff’s dept need to be held accountable. Ppl died and this could have been prevented. Stop blaming guns","Holiday, FL",0.0
978,"Food 4 thought: if my conservative grandfather who was in the military says that any type of automatic guns should be banned, then anyone should be fine with them being banned.","South Daytona, FL",-2.0
979,And Politicians wonder why they have such a low rating with the American people. They listen to the absurdity of the liberals when things like this happen. They never look back at the facts and try to come up with a solution it’s just pass something fast and put it behind us. ,"Pocatello, ID",-2.0
980,"@tedlieu @Cat_MarqueeLV @DLoesch Actually Dana and her pretentious, all knowing friends just need to go away. The reason we use the description we do is that there a great many of these military grade guns... AK47 anyone? Sig Sauer sniper series guns? It would take an hour just to name them all","Eau Claire, WI",0.0
981,@E_Edmiston @KenidraRWoods_ I guess you've never heard of the black market.  Those in Chicago can buy guns in most back alleys out of the back of vans. Check out prohibition  on alcohol. People could still buy booze even though it was illegal.,"Leander, TX",-2.0
982,@Capital_L_2011 @iHeartRadio They got political about gun control. Why can’t we ever just celebrate music???,"Plum, PA",0.0
983,Eminem when he used to keep the blicky on him &gt; Gun-control woke mature Eminem. Js. ,"Jefferson, NJ",1.0
984,"Want to know what teens in the area think about gun laws, school safety and the #NeverAgain movement? Check out my article from today’s paper: ","Utica, NY",0.0
985,#Resistance ,"Oregon, USA",-2.0
986,'America's Most Wanted' Host #JohnWalsh Wants Mental Illness Registry for Guns  via @TMZ ,"View Park-Windsor Hills, CA",-2.0
987,@CNN Handy guns. A death sentence for those ladies.,"Florida, USA",-2.0
988,@ABC7 🚫 fk the NRA fk guns,"Long Beach, CA",-2.0
989,Pathetic ,"Santa Clarita, CA",-2.0
990,"Tell a neighbor, text a relative, email a friend. Help us get the word out that this is happening everywhere. A simple reminder can prevent a future tragedy from happening. Remove guns and valuables from vehicles and lock doors.  #9PMRoutine #BeepBeep 👍🏼👮🏻‍♀️🕘 Goodnight 😴 ","Florida, USA",-2.0
991,"@kurteichenwald @grandma2aiden @DLoesch @NRA @DLoesch This is hilarious. @DLoesch, Miss ""I'm = tough cause I have guns,"" who sold her soul to the @NRA, is 2 much of a snowflake to listen to my words. Ive had many discussions with her about how her unfailing support for all guns to anyone would backfire. What a wimp.","New Jersey, USA",0.0
992,Brilliant! Maybe now the closed minded people in Washington will understand!! 🤬 ,"Hacienda Heights, CA",-2.0
993,"@enemy_88 @Dave_WolfPacTX @Tim__Lynch @radleybalko And as this article points out, far more kids are shot outside of school—and those shootings are mostly with handguns.

We’d do much better to focus on keeping ALL guns from dangerous people. Doing this without infringing on the rights of others is tricky, though.","Alabama, USA",1.0
994,"Disappointing! The White House on Sunday vowed to help provide “rigorous firearms training” to some schoolteachers and formally endorsed a bill to tighten the federal background checks system, but it backed off #POTUS45 earlier call to raise the minimum age to purchase some guns","Seattle, WA",-2.0
995,"@Calltoart @JakeOliger @KyleKashuv @senorrinhatch @marcorubio edit the text of the #2nd #amendment so it makes sense 
something like this
1. all #weapons are subject to reasonable restrictions
2. this will be defined by #courts
3. weapons #legally owned will not be confiscated
4. all #gun #laws will be #national","Quincy, MA",1.0
996,"@MuzykB edit the text of the #2nd #amendment so it makes sense 
something like this
1. all #weapons are subject to reasonable restrictions
2. this will be defined by #courts
3. weapons #legally owned will not be confiscated
4. all #gun #laws will be #national","Quincy, MA",1.0
997,"@jaracingagain @SenSchumer @WhiteHouse @NRA @SenateDems Federal ban like 1994 Federal Assault Weapons Ban passed in 1994, the U.S. Department of Justice said, ""In general, assault weapons are semiautomatic firearms with a large magazine of ammunition that were designed and configured for rapid fire and combat use.""","New Rochelle, NY",1.0
998,Sounds vaguely familiar. ,"New York, USA",-2.0
999,"@DLoesch I hope you have some difficulty sleeping at night, and I say that as someone who REALLY values sleep. ","Brooklyn, NY",-2.0
1000,@Mary_rnntt2 @lauren_hoggs You're blinded by your love of guns and you're a Christianin name only. So both. You disgust me.,"Mountain Lakes, NJ",0.0
1001,"Hey #MNLEG, don’t be idiotic. gun laws, not paws laws. ","Minneapolis, MN",0.0
1002,"Gun owners, women, kids, all opposed to the absolutist and terroristic bent of the NRA hang tight with a common plan to put those politicians out of business who care more about NRA and money than American's safety and lives. ","Houston, TX",0.0
1003,@PhilipRucker Is he taking guns away from mentally-ill people without due process? I liked that one. Might have saved 3 women last week in the VA incident.,"Broomall, PA",0.0
1004,Blissfully unaware that it’s too late: California has already been destroyed by Democrats. ,"Teaneck, NJ",-2.0
1005,"@idkwiwt Hey man, don’t doubt the FBI. They probably have portal guns by now and delagate their time to many humans","Pawling, NY",-2.0
1006,Cuz in America we carry guns and will shoot their asses— another reason to support #2Amendment ,"Glendora, CA",1.0
1007,"How come every time the left-Dems come after our guns 2A, they present a bunch of ideas on how disarm law abiding but not one idea on how to disarm criminals. Notice they’re only interested in our guns. Think about that.","Miami, FL",1.0
1008,I'm attending a Trump fundraiser. I'm down here in San Diego. Come after my business. I dare you. ,"San Diego, CA",1.0
1009,@Omvati_Ji @leelizard4 @PnutBilly @BasedMonitored Yes at the end of my frustration in seeing this I do agree with you that guns should be last option,"San Francisco, CA",1.0
1010,"White House vows to help arm teachers and backs off raising age for buying guns

Hey @realDonaldTrump how crazy are u","Honolulu, HI",0.0
1011,Congrats to all my friends who helped! Namely my teammates for the day from Arlington @saira_smith @jcindc2002 #ExpectUs #VALeg @MomsDemand ,"Arlington, VA",-2.0
1012,I hope this Isn’t the end of Ms. Ethel. I need her pulling guns and cursing folks out for like 8 more seasons. #TheChi,"Washington, DC",-2.0
1013,"@realDonaldTrump
lies, like other people breathe.  He's #PutinsPuppet, and in the NRA'S  pocket. #trumpLIES #NeverAgain ","Southbury, CT",-2.0
1014,@MichaelHogan60 @n6ki_ @Steve03343829 @itsgabrielleu @NRA @DLoesch Who are you going to rely on for your safety if guns are banned?,"Pennsylvania, USA",1.0
1015,"I, Betsy ","Grand Rapids, MI",-2.0
1016,"@2_CLASSY_SASSY @pja126 @crystalchappell I hear ya! Just stay firm, but loving-set rules w consequences &amp; stick to ur guns! Our oldest Grson’s always testing the rules &amp; he’s missing a ski trip bc he can’t follow rules! Lol","Edmond, OK",1.0
1017,People are truly evil and it’s scary and disgusting. If you make people feel bad about discomfort towards guns you’re a cock monster. ,"Morgantown, WV",1.0
1018,He still brought a weapon. Knives kill. And is the answer here backpacks?? ,"Tennessee, USA",-2.0
1019,Women with guns!! @ Big Nose Kate's Saloon ,"Arizona, USA",1.0
1020,"Whatever helps the @NRA sell more guns.

","San Francisco, CA",0.0
1021,It is 10:27 PM on a Sunday and my downstairs neighbor thinks it’s a good idea to play video games with the volume turned up high. I feel like I’m in a war zone right now listening to machine guns going off....... 🤬,"Raleigh, NC",-2.0
1022,"So True.

Literalism is a Mental Disorder.

# Hillary was so righteously flawed ","Boise, ID",1.0
1023,The Cup Song - Pitch Perfect WITH GUNS!!!  (Jim Huish)  via @YouTube,"Pflugerville, TX",1.0
1024,"@matthewamiller Let’s  allow all persons age 12 and over to buy and carry guns to school, playground, the mall, everywhere.  That should take of the school mass shooting problem.  Also let’s allow people to shout “Fire” in any crowded public space.  That’ll harden the schools.","Dearborn, MI",-2.0
1025,At #CautionWhenWet2k18 y’all better have y’all water guns cause I’m shooting at anyone 😂🔫,"Kennedale, TX",-2.0
1026,Sharing! ,"Albuquerque, NM",-2.0
1027,"Things white folks talk about a lot. 
#1 “Karma” 
#2 Being without power 
#3 Gun control 
#4 Becoming “vegans” 
#5 Donald Trump 
Conclusion: White folks are boring. 
#LifeHack","Stoneham, MA",0.0
1028,"Here’s another ignorant rant from miss Ann. She clearly has no clue about the subject of firearms or the Constitution. And people (a few) watch her. Most likely because she waddles when she walks, but also because comical as she tries to be relevant. ","Kentucky, USA",1.0
