Tweet,For guns?,Location,For guns,Against guns,Makes no sense
From 2/15/18. How many people would be alive today if we had listened—and acted.  IT’S THE GUNS! ,0.0,"North Highlands, CA",0,1,0
" I’ve noticed a lot of democrats winning seats against incumbent republicans and this is good because when democrats control congress and the sentate again, real legislation  can get passed. especially with gun control ",0.0, New York ,0,1,0
 Not to use this tragedy as a platform but maybe not EVERYONE should have access to a gun... https://t.co/qc0B921VVK ,0.0, Florida ,0,1,0
 @hrenee80 @GrizzleMeister Indeed Heather:. So many gun haters with money have bodyguards.. we’ll see if the day ever comes to take our guns how fast those bodyguards jump ship.. ,1.0, Ohio ,1,0,0
 @SpeakerRyan it’s time for a vote! Universal Background Checks for all gun purchases of which 90% of Americans support including hard working NRA members. Please bring to the floor. It’s time! #NeverAgain #EnoughIsEnough @AMarch4OurLives ,0.0, California ,0,1,0
" @SenFeinstein So, how did this women get a gun in the State of California? Strictest laws in the nation? It’s not the weapon, it’s the person. #supportNRA ",1.0, California ,1,0,0
 Good thing they have a gun ban and REAL gun control. https://t.co/krfuwCgnhB ,0.0, Florida ,0,1,0
" @Ohfairmaiden @BallingerMom Gun ownership is high in Switzerland, at approximately .5 guns per person. About 30% of Swiss citizens own guns. Military issued firearms may be purchased from the government after service. Yet, firearm related crimes per-capita are low. ",1.0, Oregon ,1,0,0
" Not looking to get into a debate/argument with anyone, just stating my opinion here: thoughts &amp; prayers stopped being enough a long time ago in situations of gun violence. We need powerful &amp; effective change. Now. ",0.0, Indiana ,0,1,0
" ""Florida cities sue state over right to regulate guns..."" https://t.co/Wowuh6wKzk via @DrudgeReader ",0.0, California ,0,1,0
 @jackKrei @Gonzobaggins @Monty4x4 @summer7570 @DLoesch Diane Feinstein’s pro gun message by George Washington https://t.co/UDaEwIFfra ,1.0, New York ,1,0,0
" Okay, okay, I’m legitimately impressed by this no-longer-mythical, however statistically unlikely, good-guy-with-a-gun. https://t.co/gFYDSSZGla ",1.0, Washington ,1,0,0
 @Education4Libs It just shows them to be fools for their beliefs that Gun Free Everything is much better for their safety. Ridiculous.... ,1.0, Louisiana ,1,0,0
" @dangercusmatt @jaraybrooks @JBrooks191 @ShafPatel @realDonaldTrump @GOP @NRA The biggest cause of death is abortions! Look it up! US Death Statistics. Liberals want to keep sending taxpayers money to planned Parenthood. It’s a woman’s choice, they say. Well it’s my choice to own a gun. Not my choice to fund abortions. ",1.0, Washington ,1,0,0
" Go @Deerfield_IL ?????? I hope 1 by 1 all neighboring towns, villages, and cities follow. #CommonSenseGunLaws https://t.co/V5XbNNa01Q ",0.0, Illinois ,0,1,0
" Youtube Shooting Witness: “I Didn’t Have A Gun On Me, Wish I Did” https://t.co/TO34biFXoB via @weaselzippers #Sayfie ",1.0, Florida ,1,0,0
 The simplest summation of the issue.  #NRAIsATerroristOrganization #GunControl #resist https://t.co/6FXFDz9eyg ,0.0, Hawaii ,0,1,0
" To those at @YouTube #YouTubeHQ &amp; everyone thats been through situations of gun violence, we will make a change for the better. For a brighter &amp; safer future. We are with you. ",0.0, Indiana ,0,1,0
" @NinaCruzShow Meanwhile other teens are changing the world and taking on gun reform. Kids are just like adults, some are dumb, and some are smart, most are somewhere in the middle.  Don’t let the extremely bad, make you forget the extremely good. ",1.0, Arizona ,1,0,0
" @OUtofcatlett Yea, having to store your guy like a responsible gun owner won’t go well, but people getting shot in their schools, churches, and workplaces is going over well for gun owners? ",0.0, Oklahoma ,0,1,0
" The great thing anti gunners don't get is this crazy lady that shot up the place, used a handgun since it's harder to get a rifle in California. So now will they admit they want a gun ban? #youtubeshooter ",1.0, Arizona ,1,0,0
 LMFAO taking away people’s firearms isn’t the solution as of RN. There needs to be some kind of change to see if there are positive or negative improvements. And...where’s the pregnant woman’s baby daddy to protect her? How many pregnant woman keep a handgun in their back pocket? https://t.co/J9kWemVpGB ,1.0, Florida ,1,0,0
" So, what’s the procedure when you have a gun to your head? What’s the fucking procedure when you have a gun to your head? ??? ",1.0, Florida ,1,0,0
 I support immediate action on gun safety reform. Join me: https://t.co/l6PjsK8Sfr ,0.0, Florida ,0,1,0
 @realDonaldTrump Protect us from gun violence. Protect us from the Russians. Protect us from the North Koreans. Protect us from you and your corrupt family. Moron. ,0.0, Virginia ,0,1,0
" Last week, a young woman who I knew since kindergarten and went to HS with, was shot and killed while she was 7 months pregnant. Tonight, I am learning of a shooting at YouTube HQ. When will all this gun violence end? ? ",0.0, Pennsylvania ,0,1,0
 Cali has the nation’s strictest gun laws but shootings still happen like today. gun laws won’t fix everything. ,1.0, Ohio ,1,0,0
 Why does every gun nut out there say they “love the constitution” as if being opposed to guns somehow means ur opposed to America lol ,0.0, Louisiana ,0,1,0
" @markylikespie @BenPower78 @compliancedivis @TrippettaRaffe @AnaHotko @Emma4Change Background checks! Healthy people who need medication to maintain mental health shouldn't be able to buy guns. If diagnosed w/any condition on ""Timothy's Law"" you shouldnt be allowed to buy a gun even healthy by successful med treatment no matter if you're a nun or Pre-K teacher. ",0.0, California ,0,1,0
" The @NRA has blood on their hands once again. Instead of managing gun licensing appropriately, they are putting guns into the hands of the mentally unstable. They do this so they can collect their monthly dues. This is American Greed at its finest. ",0.0, Texas ,0,1,0
 @RealJamesWoods So car fatalities exceed gun fatalities by a factor of 3 to 1. We should therefore get rid of cars before we get rid of guns! ,1.0, Arizona ,1,0,0
" @proud_resist @davidhogg111 @kelliump Thats right David! We are with you, not going ANYWHERE! (will be going to vote the gun nuts out tho) ? ",0.0, Minnesota ,0,1,0
" Trump offered thoughts &amp; prayers to the victims of the You tube shooting. Please, this is another gun shooting. If the gun was not there nobody would be dead. #banguns ",0.0, Maryland ,0,1,0
" @MarkDice Lol , what’s sad and frustrating is that the left is still going to blame the NRA and law abiding gun owners. What’s even worse is that ignorant and small minded Americans will ignore the facts of this shooting and continue to repeat the lies of the left. I’m tired of the BS. ",1.0, Florida ,1,0,0
 Looks like u got ur wish NRA.  America: u ok with wishes and results to wishes like this? https://t.co/m895L4w5QR ,0.0, New Jersey ,0,1,0
" @danky_booce @gubatron @BridgetteWest @Lyricoldrap @YouTube I just saw, let the gun blame game begin ",1.0, Indiana ,1,0,0
" @Spacekatgal @NRA Hello I am a real person who is opposed gun control, thanks! ",1.0, Texas ,1,0,0
 I will save the Gun Owners Party time as they are busy checking their checking accounts for their monthly NRA deposit. “Thoughts and Prayers “ https://t.co/YU9ygPiCFL ,0.0, Delaware ,0,1,0
 @Romans56thru8 @DennisRadcliff3 @keepwhistling @LuvMultimedia @NRATV The point is that a 5 year old can (and do) kill people easily with a gun.  A scrawny teenager can easily do a mass murder.  There’s a reason Marines use guns.  Let’s not conflate the two. ,0.0, Pennsylvania ,0,1,0
" @zwip778 @gamblinflanagan @MattxRed @davidhogg111 Yes. However, when the fbi shows up, what are the odds it'll do any good? 2a folx like to talk tough, but aren't the people the cops want to shoot. ",0.0, California ,0,1,0
 Mental illness is not the problem in gun violence. Mentally ill should have guns. Those who have a history of violence or violent references should be denied guns. There are signs that someone will be violent. ,0.0, New York ,0,1,0
" @JaclynCorin Love the Vote stickers! With our votes, perhaps we can do something more than clear backpacks to address the gun addiction in America. ",0.0, Florida ,0,1,0
" Terrorism isn’t the only thing that involves gun violence it’s getting shot on the street, a child accidentally shooting his sister or himself with a gun laying on the counter. And 4,800 households out of 126 million is not even close to 1%. A extremely uncommon situation https://t.co/lGPJnZECgQ ",0.0, Florida ,0,1,0
 @JonathanMerritt I love my fire arms.I will fight to keep them no matter what. ,1.0, Virginia ,1,0,0
" @Emma4Change @MikeBloomberg Background checks! Healthy people who need medication to maintain mental health shouldn't be able to buy guns. If diagnosed w/any condition on ""Timothy's Law"" you shouldn't be allowed to buy a gun even healthy by successful med treatment no matter if you are a nun. ",0.0, California ,0,1,0
 @rdcaccavale @larryelder Humorous how a bunch of teens has so many adults actually concerned. Then again those fearing confiscation of their firearms are also applauding Trump's misguided announcement that he's sending the military to the border. ,0.0, Massachusetts ,0,1,0
 Those who show signs of gun violence before it happens must be reported to the police. However you can have a mental illness and not be violent. So I think those with a mental illness who are not violent and have no history of violence should have guns. ,1.0, New York ,1,0,0
" Thanks Dems , U incresed sales with anti-gun takk. We will fire U soon https://t.co/RSJaOVhDRP ",1.0, Tennessee ,1,0,0
 Absolutely sick NRA https://t.co/zwBkkC1yWP ,0.0, Florida ,0,1,0
 ...But it’s the gun advocates that are the sociopaths. Right. https://t.co/2kfLGZLmkz ,0.0, Michigan ,0,1,0
 You know what I think is the core of this debate? How many people are SO SURE they are going to be murdered by a predator. I have lived my 28 years of life on this earth constantly thinking that someone is going to kick down my door and murder me with a machine gun. #2A ,0.0, Illinois ,0,1,0
 I used to worry about getting murdered before I would go to bed every night. My dad would encourage me to get a gun to protect myself &amp; for a moment I thought that was a good idea. #2A ,0.0, Illinois ,0,1,0
 @MarkDice they are still trying to figure out how to spin this anti gun and anti NRA. fuck them. They have showed their cards. WE ARE NOT BUYING IT @FBI @CIA @OBAMALEFTOVERS You have failed. #Qanon8chan #GreatAwakening ,0.0, Colorado ,0,1,0
 An NRA member no doubt! ? https://t.co/lur9bWVDXa ,0.0, California ,0,1,0
 It’s same dog and pony show with Trump! Thoughts and prayers! Words solve nothing. It takes action which Trump has done nothing to improve gun regulations and probably never will!  NRA bought Trump with campaign contributions! https://t.co/5FQvNpzo0S via rawstory ,0.0, Georgia ,0,1,0
 @gorbr28 @USATODAY Californistan has some of the most restrictive gun laws in the country. Try harder. ,0.0, Arizona ,0,1,0
 Terrible... Poor Gun America! https://t.co/ryeurJRvmY ,0.0, New York ,0,1,0
 Its terrible how often gun violence exists in America. We must do something to end the normalcy of gun violence in our country. What does our reaction to violence do for those who survived? We hope ease the trama. Prevention is a must! ,0.0, New York ,0,1,0
 WE NEED GUN CONTROL ,0.0, California ,0,1,0
" I’m in disbelief. This fully semi-automatic tactical military assault rifle chambered it 420.069 caliber win mag just tried to walk into my room and shoot me. Unbelievable. Look at the tactical laser beam scope that locks on to people from over 50,000 yards away! Ban these! https://t.co/pJG9DOcgwY ",0.0, Kentucky ,0,1,0
" @NotSayi66386935 You pointed out people need assault rifles to protect their homes. I refuted your point by saying it’s a highly uncommon situation. Gun violence, homicides etc are as well but they occur in the home, in public at PUBLIC SCHOOLS. They are a becoming more frequent ",0.0, Florida ,0,1,0
" @kurteichenwald So protecting kids is useless while we still protect banks, politicians, and celebrities?  Dude if we ended all Gun sales today. Still 600 million legal guns.  So using kids to sell gun control ONLY is doing zero to protect them and you're smart enough to know that. ",1.0, Washington ,1,0,0
 @shannonrwatts @shannoncoulter @NRA Reminder.  Guns are the thing that shoot people. Having one more gun does not negate this basic fact. ,0.0, Texas ,0,1,0
" @NotSayi66386935 And within those homes that have guns to “protect”, on average 50 spouses “women” are shot and killed by their male partner. And the presence of a gun in the home raises the chances of a women being killed 5 times more. ",0.0, Florida ,0,1,0
 #BoycottNRA #NeverAgain #BanAssaultWeapons #BanBumpStocks #NoGunsforTeachers #RaiseMinimumAge #BoycottNRASponsors ? https://t.co/FXGfA39Nrk ,0.0, Pennsylvania ,0,1,0
" @samfoof @NancyPelosi That is really going to help. NRA needs to join in asking responsible gun owners to set the example. Background checks, licensing and training when purchasing a gun. No loopholes. ",0.0, Florida ,0,1,0
 Photo of NRA bots calling me a spic the minute I demand gun control https://t.co/ts2RplbrVb ,0.0, Michigan ,0,1,0
" @EvieJ_93 I hear you cuz, I really do, I also agree with you.. but there’s millions of guns here and it only takes one bullet to do damage.. I can’t see the laws changing a crazy person’s mind from finding a gun and causing another tragedy. ",0.0, Pennsylvania ,0,1,0
" Growing up during the gun recall in Australia, gun control has always made sense to me. However until today I've had the privilege of being able to distance myself from the problem in America. Something needs to be done. No handguns. No semi-automatics. Enough. ",0.0, California ,0,1,0
 @BreitbartNews @KendraVondersa3 Don't  be a victim you are the person responsible for your safety. Buy a gun get trained and carry.This is the only way to end these active shooter situations quickly with less loss of life.#NRA #JoinTheNRA ,1.0, California ,1,0,0
 @JerashkimBrown @MoveOn @marcorubio @realDonaldTrump @NRA @thehill @politico @rollcall @cspan @GOPLeader LiberLou blames the GUN instead of Law enforcement and Mental illness. Your wasting your time lunnyloulou ,1.0, California ,1,0,0
 Ok but just for a second can we ponder who the fuck needs a gun at a gay wedding? Like it’s gonna be a fucking party and y’all need a deadly weapon? Like I know we dramatic but take it down a notch Gary. https://t.co/g6QgbQrzMp ,0.0, Michigan ,0,1,0
 Fuck sending love.  #GunControlNow https://t.co/AMcbmztG6v ,0.0, California ,0,1,0
 GuN cONtRoL iS sTILl NoT a NEcESsiTY iN AmEriCA. LaNd Of tHE FrEe aNd HOmE oF tHe BrAVe... Am I RiGht!? ,0.0, New York ,0,1,0
 California look at your strictest gun laws and tell me. Do you really think more &amp; more are going to prevent other incidents from happening? These States are a joke. Including my own. I saw 1st hand weapons ban &amp; more laws don’t work. If not a gun. A hammer. If not that? A/? ,1.0, Connecticut ,1,0,0
" Besides working together to end gun violence, school administrators have made parents pay for see through backpacks. This does not prevent gun violence. This is the cheap way out. #NeverAgain #Enough https://t.co/s92V8Q7Mr7 ",0.0, Alabama ,0,1,0
" As a gun violence survivor, I support changes in regulation. I hope this vid continues the effort. Thanks @Sarahchadwickk @Emma4Change @1SecondEveryday @CesarKuriyama &amp; @Lin_Manuel for inspiration.    Gun Violence Anthem https://t.co/fuFjOJmVDZ via @YouTube #enough #neveragain ",0.0, District of Columbia ,0,1,0
" @JordanSchachtel Uhm, if she had used lab test animals to attack her victims, yes absolutely. Also, nobody is against NRA members. We are against gun nuts, which most NRA members aren't. Most NRA members want #guncontrol ",0.0, California ,0,1,0
" I like that righting nut jobs on Twitter seem to think gun control activists won’t call for gun control if an active shooter wasn’t a white male. The common denominator is guns, idiots. ",0.0, Kansas ,0,1,0
" @realDonaldTrump No more thoughts and prayers. If you really feel bad about it, do something for gun control. ",0.0, Illinois ,0,1,0
" @RealJack @village_jordan Gun Control is working as planned in London. They have more murders than NYC (and that is NOT counting the reoccurring Terrorist Murders in London). Most murders are now done by knife in London. Personally, I would prefer to be shot. ",1.0, Florida ,1,0,0
 Two tweets on my TL of why we need gun control!!! https://t.co/GnLJhAuzYh ,0.0, California ,0,1,0
 Lol @ California’s gun control ,1.0, Texas ,1,0,0
